Date,UserID,TweetID,TweetPol,DescPol,QuotePol,HashPol,RTUserID,QUserID,ReplyUserID,RTweetID
2018-05-15 13:07:40,1177374030,996376570389463042,-0.5,0.133,0.0,0,None,None,None,None
2018-05-15 13:14:31,2718033028,996378293220839424,-0.5,0.05,0.0,0,1177374030,None,None,996376570389463042
2018-05-15 13:14:48,1629970886,996378363299328000,-0.5,-0.167,0.0,0,1177374030,None,None,996376570389463042
2018-05-15 13:20:25,927991868167729153,996379776544845824,-0.5,0.0,0,0,None,None,825020656576294912,None
2018-05-15 13:26:30,944381691568599041,996381307419553793,-0.5,0.25,0,0,None,None,None,None
2018-05-15 13:28:22,965318089305985024,996381780423925760,-0.5,0.0,0,0,None,None,2225920836,None
2018-05-15 13:31:24,767952730442850304,996382543342694400,-0.5,0.0,0,0,476336571,None,None,995417767783346177
2018-05-15 13:35:14,833443840342233088,996383504735883264,-0.5,0.0,0,0,476336571,None,None,995417767783346177
2018-05-15 13:54:28,956885745918099456,996388346233434113,-0.5,0.0,0,0,None,None,None,None
2018-05-15 13:54:59,2674005546,996388478228328449,-0.5,0.0,0,0,917739497898594304,None,None,996238735728619520
2018-05-15 14:49:38,993956790751694850,996402230801719297,-0.5,0.0,0,0,None,None,125346858,None
2018-05-15 14:58:25,4806033374,996404440704827392,-0.5,0.214,0,0,None,None,None,None
2018-05-15 14:59:32,42844307,996404720758542336,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 15:04:34,40579434,996405987144798209,-0.5,0.029,0,0,278063382,None,None,996403425511444480
2018-05-15 15:05:59,2333080109,996406344868655107,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 15:06:54,1699266222,996406575375011841,-0.5,0.0,0,0,None,None,None,None
2018-05-15 15:07:25,774134310,996406705327149062,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 15:09:37,992369454313975808,996407257020575746,-0.5,0.167,0,0,None,None,992369454313975808,None
2018-05-15 15:11:42,863059185629630465,996407781895823360,-0.5,0.1,0,0,1699266222,None,None,996406575375011841
2018-05-15 15:14:27,2207441728,996408475478577157,-0.5,0.0,0,0,None,None,None,None
2018-05-15 15:14:51,158813312,996408577253396480,-0.5,0.014,0,0,278063382,None,None,996403425511444480
2018-05-15 15:18:13,18706621,996409422602698753,-0.5,-0.067,0,0,278063382,None,None,996403425511444480
2018-05-15 15:37:17,3354204965,996414221578592256,-0.5,0.0,0.0,0,3179673866,None,None,996178566974005248
2018-05-15 15:40:21,18089606,996414992755785728,-0.5,-0.05,0.0,0,None,None,None,None
2018-05-15 15:42:24,828312124615188480,996415507749208064,-0.5,-0.047,0.0,0,18089606,None,None,996414992755785728
2018-05-15 15:43:05,22545083,996415679287955456,-0.5,0.0,0.0,0,18089606,None,None,996414992755785728
2018-05-15 16:00:03,22453637,996419950737838081,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 16:01:08,36618896,996420224462327810,-0.5,0.0,0.0,0,18089606,None,None,996414992755785728
2018-05-15 16:07:39,17915515,996421862916702209,-0.5,0.0,0.0,0,18089606,None,None,996414992755785728
2018-05-15 16:10:16,967642905820229632,996422520340467714,-0.5,0.4,0.0,0,1177374030,None,None,996376570389463042
2018-05-15 16:16:12,548920185,996424016712949762,-0.5,0.0,0,0,None,None,None,None
2018-05-15 16:17:59,30443775,996424461753577472,-0.5,0.8,0,0,None,None,56312411,None
2018-05-15 16:30:57,3471901,996427725127602176,-0.5,-0.071,0,0,278063382,None,None,996403425511444480
2018-05-15 16:33:34,969561701598179328,996428383541051392,-0.5,0.136,0,0,None,None,969561701598179328,None
2018-05-15 16:36:41,18032208,996429170535116800,-0.5,0.1,0,0,278063382,None,None,996403425511444480
2018-05-15 16:38:14,157035852,996429558885863430,-0.5,0.0,0,0,None,None,None,None
2018-05-15 16:55:53,823677081422688256,996434001509285889,-0.5,0.7,0.0,0,18089606,None,None,996414992755785728
2018-05-15 16:56:45,2606994485,996434219315482624,-0.5,0.5,0,0,None,None,None,None
2018-05-15 17:00:02,696573317835329537,996435044532011009,-0.5,0.0,0.079,0,960981597095956480,None,None,995738056211812353
2018-05-15 17:00:14,298883334,996435097032314881,-0.5,0.057,0,0,278063382,None,None,996403425511444480
2018-05-15 17:02:50,3251227467,996435750177697792,-0.5,0.033,0,0.0,None,None,None,None
2018-05-15 17:07:27,85724194,996436912326901760,-0.5,0.0,0.0,0,18089606,None,None,996414992755785728
2018-05-15 17:08:01,256199223,996437056053305344,-0.5,-0.075,0.0,0,18089606,None,None,996414992755785728
2018-05-15 17:09:20,70467926,996437386803466244,-0.5,0.038,0,0,None,None,None,None
2018-05-15 17:11:33,888470178874486784,996437946017484800,-0.5,0.0,0,0,None,None,164555244,None
2018-05-15 17:16:04,75883640,996439079473569792,-0.5,0.117,0.0,0,18089606,None,None,996414992755785728
2018-05-15 17:18:52,845701760106741762,996439787690119168,-0.5,0.0,0,0,None,None,56031159,None
2018-05-15 17:29:05,918889854267781120,996442355300433920,-0.5,0.0,0,0,None,None,None,None
2018-05-15 17:32:47,223716960,996443286847049728,-0.5,0.127,0,0,278063382,None,None,996403425511444480
2018-05-15 17:32:58,918889854267781120,996443332996976642,-0.5,0.0,0,0,None,None,None,None
2018-05-15 17:37:18,747868488761413632,996444424585601024,-0.5,0.0,0,0,918889854267781120,None,None,996443332996976642
2018-05-15 17:39:06,2764080110,996444876609900544,-0.5,0.0,0.0,0,None,None,None,None
2018-05-15 17:48:34,1080206209,996447259003949057,-0.5,0.0,0,0,None,None,498095362,None
2018-05-15 17:57:16,514452911,996449447608537090,-0.5,0.35,0,0,None,None,None,None
2018-05-15 18:01:44,113376763,996450574978682882,-0.5,0.068,0,0,None,None,None,None
2018-05-15 18:01:49,38737371,996450594301927426,-0.5,0.0,0,0,None,None,None,None
2018-05-15 18:01:49,360212621,996450595472060416,-0.5,-0.042,0,0,278063382,None,None,996403425511444480
2018-05-15 18:09:23,1493603490,996452500352978944,-0.5,-0.125,0,0,None,None,1493603490,None
2018-05-15 18:15:03,918889854267781120,996453925330083840,-0.5,0.0,0,0,None,None,None,None
2018-05-15 18:16:11,821456378657181698,996454209426948096,-0.5,0.0,0,0,918889854267781120,None,None,996453925330083840
2018-05-15 18:16:50,876033724122583040,996454375282368512,-0.5,0.0,0,0,918889854267781120,None,None,996453925330083840
